policy_num,base_policy,day_claimed,week_claimed,month_claimed,deductible,days_policy_claim,past_num_claims,address_change_claim,agent_type,rep_num,is_fraud,age,sex,age_group,num_cars,vehicle_age,vehicle_category,vehicle_price,make,accident_area,fault,witness_present,police_report_filed
3530,liability,wednesday,3,jan,400,more than 30,1,no change,external,12,0,60,female,51 to 65,1 vehicle,> 7 years,sport,40000 to 59000,ford,urban,policy holder,no,no
3531,all perils,monday,3,jan,400,more than 30,2 to 4,no change,external,7,0,28,male,31 to 35,1 vehicle,7 years,sedan,less than 20000,honda,urban,policy holder,no,no
3532,all perils,monday,5,jan,400,more than 30,none,no change,external,4,0,45,male,36 to 40,1 vehicle,7 years,utility,more than 69000,acura,urban,policy holder,no,no
3533,liability,friday,3,jan,400,more than 30,more than 4,no change,external,9,0,32,male,31 to 35,1 vehicle,6 years,sport,20000 to 29000,pontiac,urban,policy holder,no,no
3534,collision,tuesday,5,may,400,more than 30,2 to 4,no change,external,7,0,58,male,51 to 65,1 vehicle,> 7 years,sedan,20000 to 29000,toyota,urban,third party,no,no
3535,liability,tuesday,3,dec,700,more than 30,1,no change,external,6,0,58,male,51 to 65,1 vehicle,> 7 years,sport,20000 to 29000,toyota,urban,policy holder,no,no
3536,all perils,monday,1,jan,400,more than 30,2 to 4,no change,external,1,0,24,male,26 to 30,1 vehicle,4 years,sedan,20000 to 29000,honda,urban,third party,no,no
3537,collision,tuesday,1,oct,400,more than 30,2 to 4,no change,external,11,0,29,male,31 to 35,1 vehicle,7 years,sedan,more than 69000,pontiac,urban,policy holder,no,no
3538,liability,wednesday,2,sep,400,more than 30,2 to 4,no change,external,15,0,53,male,41 to 50,1 vehicle,> 7 years,sport,60000 to 69000,vw,urban,policy holder,no,no
3539,all perils,monday,4,aug,400,more than 30,none,no change,external,1,0,18,female,21 to 25,1 vehicle,4 years,sedan,20000 to 29000,pontiac,urban,policy holder,no,no
3540,collision,tuesday,3,jun,400,more than 30,1,no change,external,8,0,61,male,51 to 65,1 vehicle,7 years,sedan,20000 to 29000,honda,urban,third party,yes,no
3541,all perils,monday,1,jul,400,more than 30,more than 4,no change,external,4,0,26,male,31 to 35,1 vehicle,7 years,utility,40000 to 59000,pontiac,urban,policy holder,no,no
3542,all perils,tuesday,1,jul,400,more than 30,2 to 4,no change,external,13,0,34,male,31 to 35,1 vehicle,7 years,sedan,more than 69000,acura,urban,policy holder,no,no
3543,all perils,wednesday,3,apr,400,more than 30,2 to 4,no change,external,4,0,37,male,36 to 40,1 vehicle,7 years,sedan,less than 20000,honda,urban,third party,no,no
3544,all perils,wednesday,1,mar,400,more than 30,none,no change,external,3,0,39,male,16 to 17,1 vehicle,<= 1 year,sedan,more than 69000,honda,urban,policy holder,no,no
3545,liability,friday,4,feb,400,more than 30,2 to 4,no change,external,16,0,39,male,16 to 17,1 vehicle,<= 1 year,sport,more than 69000,honda,urban,policy holder,no,no
3546,collision,tuesday,2,may,400,more than 30,1,no change,external,10,0,33,male,31 to 35,1 vehicle,5 years,sedan,30000 to 39000,pontiac,rural,policy holder,no,no
3547,collision,thursday,3,apr,400,more than 30,2 to 4,no change,external,14,0,40,male,36 to 40,1 vehicle,3 years,sedan,more than 69000,acura,urban,third party,no,no
3548,liability,monday,1,jul,400,more than 30,more than 4,no change,external,2,0,40,male,36 to 40,1 vehicle,7 years,sport,20000 to 29000,honda,urban,policy holder,no,no
3549,liability,wednesday,2,may,400,more than 30,2 to 4,no change,external,8,0,65,female,51 to 65,1 vehicle,3 years,sport,20000 to 29000,chevrolet,urban,policy holder,no,no
3550,all perils,friday,3,jun,400,more than 30,2 to 4,1 year,external,16,1,37,male,36 to 40,2 vehicles,7 years,sedan,20000 to 29000,pontiac,urban,policy holder,no,no
3551,collision,monday,4,oct,400,more than 30,none,no change,internal,4,0,43,female,36 to 40,1 vehicle,7 years,sedan,60000 to 69000,vw,urban,policy holder,no,no
3552,collision,monday,4,oct,400,more than 30,none,no change,external,8,0,35,male,31 to 35,1 vehicle,7 years,sedan,20000 to 29000,toyota,urban,third party,no,no
3553,liability,monday,4,oct,400,more than 30,2 to 4,no change,external,13,0,30,male,31 to 35,1 vehicle,6 years,sport,30000 to 39000,pontiac,urban,policy holder,no,no
3554,collision,tuesday,3,sep,400,more than 30,2 to 4,no change,external,11,0,31,male,31 to 35,1 vehicle,7 years,sedan,40000 to 59000,ford,urban,policy holder,no,no
3555,liability,tuesday,4,jun,400,more than 30,2 to 4,no change,external,9,0,50,male,41 to 50,1 vehicle,> 7 years,sport,20000 to 29000,honda,urban,policy holder,no,no
3556,all perils,tuesday,3,may,400,more than 30,none,no change,external,5,1,48,male,41 to 50,1 vehicle,7 years,sedan,20000 to 29000,toyota,urban,policy holder,no,no
3557,all perils,monday,3,may,400,more than 30,2 to 4,no change,external,15,1,41,female,36 to 40,1 vehicle,7 years,sedan,less than 20000,toyota,rural,policy holder,no,no
3558,collision,wednesday,3,may,400,more than 30,none,no change,external,3,0,61,male,51 to 65,1 vehicle,> 7 years,sedan,40000 to 59000,ford,urban,policy holder,no,no
3559,all perils,friday,2,feb,400,more than 30,1,no change,external,2,0,26,female,31 to 35,1 vehicle,7 years,sedan,less than 20000,pontiac,urban,policy holder,no,no
3560,liability,monday,3,jan,400,more than 30,2 to 4,no change,external,3,0,35,male,31 to 35,1 vehicle,7 years,sport,40000 to 59000,pontiac,urban,policy holder,no,no
3561,all perils,friday,2,jan,400,more than 30,1,no change,external,8,0,44,male,36 to 40,1 vehicle,5 years,sedan,40000 to 59000,acura,urban,policy holder,no,no
3562,collision,wednesday,3,jan,400,more than 30,1,no change,external,2,0,27,male,31 to 35,1 vehicle,7 years,sedan,20000 to 29000,mazda,rural,policy holder,no,no
3563,liability,thursday,2,jan,400,more than 30,none,no change,external,15,0,66,male,over 65,1 vehicle,7 years,sport,30000 to 39000,mazda,urban,third party,no,no
3564,collision,thursday,2,feb,400,more than 30,none,no change,external,10,0,68,male,over 65,1 vehicle,> 7 years,sedan,less than 20000,toyota,urban,policy holder,no,no
3565,collision,tuesday,3,jan,400,more than 30,1,no change,external,5,0,28,male,31 to 35,1 vehicle,6 years,sedan,less than 20000,pontiac,urban,policy holder,no,no
3566,collision,wednesday,1,jan,700,more than 30,1,no change,external,5,0,43,female,36 to 40,1 vehicle,7 years,sedan,more than 69000,mazda,urban,third party,no,no
3567,all perils,tuesday,1,jan,400,more than 30,none,no change,external,13,0,36,male,36 to 40,1 vehicle,7 years,sedan,20000 to 29000,toyota,urban,policy holder,no,no
3568,liability,wednesday,2,jan,400,more than 30,more than 4,no change,external,4,0,47,male,41 to 50,3 to 4,7 years,sport,20000 to 29000,mazda,urban,policy holder,no,no
3569,collision,monday,2,jan,400,more than 30,2 to 4,no change,external,10,0,28,male,31 to 35,1 vehicle,7 years,sedan,20000 to 29000,honda,urban,policy holder,no,no
3570,all perils,wednesday,3,may,400,more than 30,none,no change,external,12,1,72,male,over 65,1 vehicle,5 years,sedan,20000 to 29000,acura,rural,policy holder,no,no
3571,liability,monday,1,jan,500,more than 30,none,2 to 3 years,external,10,0,26,male,31 to 35,2 vehicles,7 years,sport,20000 to 29000,chevrolet,urban,third party,no,no
3572,all perils,wednesday,4,jan,400,more than 30,2 to 4,no change,external,9,0,32,male,31 to 35,1 vehicle,7 years,sedan,20000 to 29000,pontiac,urban,policy holder,no,no
3573,liability,monday,3,dec,400,more than 30,more than 4,no change,external,12,0,31,male,31 to 35,1 vehicle,7 years,sport,30000 to 39000,toyota,rural,policy holder,no,no
3574,collision,tuesday,2,dec,400,more than 30,none,no change,external,1,0,30,male,31 to 35,1 vehicle,7 years,sedan,20000 to 29000,honda,urban,third party,no,no
3575,liability,monday,2,jan,400,more than 30,more than 4,no change,external,2,0,55,male,41 to 50,1 vehicle,> 7 years,sport,20000 to 29000,honda,urban,policy holder,no,no
3576,liability,thursday,1,sep,400,more than 30,2 to 4,no change,external,14,0,43,female,36 to 40,1 vehicle,6 years,sport,30000 to 39000,pontiac,urban,policy holder,no,no
3577,collision,thursday,3,aug,400,more than 30,none,no change,external,10,0,42,male,36 to 40,1 vehicle,5 years,sedan,20000 to 29000,pontiac,urban,policy holder,no,no
3578,collision,thursday,5,jul,400,more than 30,2 to 4,no change,external,8,0,44,female,36 to 40,1 vehicle,5 years,sedan,20000 to 29000,pontiac,urban,policy holder,no,no
3579,collision,monday,1,aug,400,more than 30,2 to 4,no change,external,15,0,44,female,36 to 40,1 vehicle,6 years,sedan,20000 to 29000,pontiac,urban,policy holder,no,no
3580,all perils,thursday,2,may,400,more than 30,1,no change,external,5,1,38,male,36 to 40,1 vehicle,7 years,sedan,20000 to 29000,mazda,urban,policy holder,no,no
3581,collision,thursday,1,may,400,more than 30,none,no change,external,15,0,65,male,51 to 65,1 vehicle,> 7 years,sedan,20000 to 29000,chevrolet,urban,policy holder,no,no
3582,collision,thursday,2,apr,400,more than 30,2 to 4,no change,external,7,0,45,male,36 to 40,1 vehicle,7 years,sedan,20000 to 29000,mazda,urban,policy holder,no,no
3583,collision,friday,1,apr,400,more than 30,1,no change,external,1,0,34,male,31 to 35,1 vehicle,7 years,sedan,20000 to 29000,mazda,rural,policy holder,no,no
3584,collision,friday,1,mar,400,more than 30,none,no change,external,8,0,49,male,41 to 50,1 vehicle,> 7 years,sedan,30000 to 39000,chevrolet,rural,policy holder,no,no
3585,liability,tuesday,1,mar,400,more than 30,2 to 4,no change,external,13,0,76,male,over 65,1 vehicle,> 7 years,sport,30000 to 39000,dodge,urban,policy holder,no,no
3586,all perils,monday,3,may,400,more than 30,none,no change,external,7,1,60,male,51 to 65,1 vehicle,> 7 years,utility,more than 69000,acura,urban,policy holder,no,no
3587,liability,monday,2,feb,400,more than 30,2 to 4,no change,external,16,0,44,male,36 to 40,1 vehicle,> 7 years,sport,20000 to 29000,pontiac,urban,third party,no,no
3588,all perils,friday,4,jun,400,more than 30,1,no change,external,8,0,39,male,16 to 17,1 vehicle,<= 1 year,sedan,more than 69000,honda,urban,policy holder,no,no
3589,all perils,tuesday,3,jun,400,more than 30,none,no change,external,16,1,27,male,31 to 35,1 vehicle,6 years,sedan,20000 to 29000,pontiac,rural,policy holder,no,no
3590,all perils,friday,4,jun,400,more than 30,none,no change,external,2,0,33,male,31 to 35,1 vehicle,7 years,sedan,30000 to 39000,acura,urban,third party,no,no
3591,all perils,wednesday,2,jan,400,more than 30,none,no change,external,3,0,48,male,41 to 50,1 vehicle,> 7 years,sedan,20000 to 29000,saturn,urban,policy holder,no,no
3592,collision,friday,4,dec,400,more than 30,2 to 4,4 to 8 years,external,7,0,52,male,41 to 50,2 vehicles,> 7 years,sedan,20000 to 29000,honda,urban,policy holder,no,no
3593,collision,monday,2,mar,400,more than 30,more than 4,no change,external,13,0,28,female,31 to 35,1 vehicle,6 years,sedan,20000 to 29000,honda,urban,policy holder,no,no
3594,collision,monday,2,mar,400,more than 30,1,no change,external,2,0,45,male,36 to 40,1 vehicle,6 years,sedan,20000 to 29000,mazda,urban,policy holder,no,no
3595,all perils,thursday,2,mar,400,more than 30,none,no change,external,11,0,48,male,41 to 50,1 vehicle,> 7 years,sedan,20000 to 29000,saturn,urban,policy holder,no,no
3596,collision,friday,2,mar,400,more than 30,2 to 4,no change,external,5,0,35,male,31 to 35,1 vehicle,6 years,sedan,20000 to 29000,chevrolet,urban,third party,no,no
3597,liability,monday,1,mar,400,more than 30,2 to 4,no change,external,7,0,29,male,31 to 35,1 vehicle,5 years,sport,20000 to 29000,pontiac,urban,policy holder,no,no
3598,liability,friday,3,feb,400,more than 30,more than 4,no change,external,14,0,40,male,36 to 40,1 vehicle,6 years,sport,more than 69000,honda,urban,policy holder,no,no
3599,all perils,tuesday,4,may,400,15 to 30,2 to 4,no change,external,12,1,39,male,36 to 40,1 vehicle,6 years,sedan,less than 20000,toyota,urban,policy holder,no,no
3600,liability,monday,2,feb,400,more than 30,2 to 4,no change,external,7,0,52,male,41 to 50,1 vehicle,7 years,sport,30000 to 39000,mazda,urban,policy holder,no,no
3601,liability,friday,4,dec,400,more than 30,1,no change,external,2,0,27,male,31 to 35,1 vehicle,6 years,sport,20000 to 29000,chevrolet,rural,policy holder,no,no
3602,collision,thursday,3,jun,400,more than 30,2 to 4,no change,external,8,0,59,male,51 to 65,1 vehicle,7 years,sedan,20000 to 29000,pontiac,urban,policy holder,no,no
3603,all perils,monday,2,jun,400,more than 30,none,no change,external,14,0,53,male,41 to 50,1 vehicle,> 7 years,sedan,20000 to 29000,honda,urban,third party,no,no
3604,liability,tuesday,3,jun,400,more than 30,more than 4,no change,external,2,0,40,female,36 to 40,1 vehicle,7 years,sport,30000 to 39000,honda,urban,policy holder,no,no
3605,all perils,tuesday,4,mar,400,more than 30,2 to 4,no change,external,14,0,59,male,51 to 65,1 vehicle,> 7 years,sedan,20000 to 29000,toyota,urban,third party,no,no
3606,all perils,thursday,2,mar,400,more than 30,1,no change,external,16,0,48,male,41 to 50,1 vehicle,5 years,sedan,less than 20000,pontiac,urban,policy holder,no,no
3607,collision,friday,4,feb,400,more than 30,2 to 4,no change,external,13,0,40,male,36 to 40,1 vehicle,> 7 years,sedan,less than 20000,pontiac,urban,third party,no,no
3608,liability,wednesday,4,feb,400,more than 30,1,no change,external,10,0,65,male,51 to 65,1 vehicle,> 7 years,sport,30000 to 39000,ford,urban,policy holder,no,no
3609,collision,thursday,2,feb,400,more than 30,none,no change,external,12,0,41,male,36 to 40,3 to 4,5 years,sedan,20000 to 29000,honda,urban,policy holder,no,no
3610,liability,friday,2,feb,400,more than 30,more than 4,no change,external,9,0,39,male,16 to 17,1 vehicle,<= 1 year,sport,more than 69000,honda,urban,policy holder,no,no
3611,liability,friday,2,feb,400,more than 30,more than 4,no change,external,3,0,32,male,31 to 35,1 vehicle,6 years,sport,20000 to 29000,honda,urban,policy holder,no,no
3612,liability,tuesday,3,jan,400,more than 30,none,no change,external,12,0,33,male,31 to 35,1 vehicle,5 years,sport,20000 to 29000,honda,urban,policy holder,no,no
3613,collision,friday,4,jan,400,more than 30,2 to 4,4 to 8 years,external,3,0,28,male,31 to 35,2 vehicles,6 years,sedan,more than 69000,chevrolet,urban,policy holder,no,no
3614,all perils,friday,2,may,400,more than 30,none,no change,external,5,1,50,male,41 to 50,1 vehicle,7 years,sedan,20000 to 29000,pontiac,urban,policy holder,no,no
3615,liability,friday,2,jan,400,more than 30,2 to 4,no change,external,3,0,33,male,31 to 35,1 vehicle,3 years,sport,more than 69000,honda,urban,policy holder,no,no
3616,collision,monday,2,jan,400,more than 30,2 to 4,no change,external,3,0,59,male,51 to 65,1 vehicle,> 7 years,sedan,20000 to 29000,honda,urban,policy holder,no,no
3617,liability,friday,2,jan,400,more than 30,none,no change,external,9,0,34,male,31 to 35,1 vehicle,7 years,sport,20000 to 29000,honda,rural,policy holder,no,no
3618,all perils,friday,2,jan,400,more than 30,none,no change,external,14,0,48,female,41 to 50,1 vehicle,7 years,sedan,30000 to 39000,chevrolet,urban,third party,no,no
3619,collision,friday,2,jan,400,more than 30,2 to 4,no change,external,2,0,45,male,36 to 40,1 vehicle,> 7 years,sedan,30000 to 39000,mazda,urban,policy holder,no,no
3620,all perils,monday,1,jan,400,more than 30,2 to 4,no change,external,1,0,42,male,36 to 40,1 vehicle,7 years,sedan,20000 to 29000,toyota,urban,third party,no,no
3621,collision,wednesday,2,apr,400,more than 30,1,no change,external,4,0,35,male,31 to 35,1 vehicle,7 years,sedan,more than 69000,vw,urban,policy holder,no,no
3622,collision,friday,4,mar,500,more than 30,2 to 4,2 to 3 years,external,1,0,29,male,31 to 35,1 vehicle,7 years,sedan,20000 to 29000,toyota,urban,policy holder,no,no
3623,all perils,monday,1,mar,400,more than 30,1,no change,external,14,0,50,male,41 to 50,1 vehicle,> 7 years,sedan,20000 to 29000,mazda,rural,policy holder,no,no
3624,all perils,friday,2,jun,400,more than 30,none,no change,external,10,0,41,male,36 to 40,1 vehicle,<= 1 year,sedan,more than 69000,honda,urban,third party,no,no
3625,all perils,wednesday,4,feb,400,more than 30,1,no change,external,14,0,36,male,36 to 40,1 vehicle,> 7 years,sedan,30000 to 39000,chevrolet,urban,policy holder,no,no
3626,liability,friday,4,feb,400,more than 30,1,no change,internal,1,0,45,male,36 to 40,1 vehicle,7 years,sport,20000 to 29000,mazda,urban,third party,no,no
3627,collision,monday,4,feb,400,more than 30,1,no change,external,7,0,50,male,41 to 50,1 vehicle,> 7 years,sedan,30000 to 39000,mazda,urban,policy holder,no,no
3628,all perils,thursday,3,feb,400,more than 30,1,no change,external,4,0,31,female,31 to 35,1 vehicle,5 years,sedan,less than 20000,pontiac,urban,policy holder,no,no
3629,all perils,monday,2,feb,400,more than 30,2 to 4,no change,external,3,0,44,male,36 to 40,1 vehicle,7 years,sedan,20000 to 29000,pontiac,urban,third party,no,no
3630,collision,friday,5,jan,400,more than 30,1,no change,external,14,0,35,male,31 to 35,1 vehicle,6 years,sedan,20000 to 29000,pontiac,urban,policy holder,no,no
3631,liability,wednesday,2,feb,400,more than 30,2 to 4,no change,external,4,0,60,male,51 to 65,1 vehicle,> 7 years,sport,20000 to 29000,pontiac,urban,policy holder,no,no
3632,collision,thursday,2,jan,400,more than 30,none,no change,external,10,0,42,female,36 to 40,1 vehicle,7 years,sedan,30000 to 39000,saab,rural,policy holder,no,no
3633,liability,wednesday,2,jan,400,more than 30,2 to 4,no change,external,12,0,38,female,36 to 40,1 vehicle,7 years,sport,20000 to 29000,mazda,urban,third party,no,no
3634,liability,thursday,2,jan,400,more than 30,2 to 4,4 to 8 years,external,10,0,32,male,31 to 35,2 vehicles,6 years,sport,20000 to 29000,mazda,urban,third party,no,no
3635,liability,wednesday,2,jan,400,more than 30,1,no change,external,13,0,30,female,31 to 35,1 vehicle,4 years,sport,20000 to 29000,honda,urban,policy holder,no,no
3636,liability,thursday,3,feb,400,more than 30,1,no change,external,12,0,34,male,31 to 35,1 vehicle,7 years,sport,more than 69000,mercury,urban,policy holder,no,no
3637,liability,monday,2,feb,400,more than 30,2 to 4,no change,external,8,0,46,male,41 to 50,1 vehicle,> 7 years,sport,30000 to 39000,chevrolet,urban,third party,no,no
3638,liability,monday,4,jan,400,more than 30,more than 4,no change,external,16,0,31,male,31 to 35,1 vehicle,6 years,sport,30000 to 39000,mazda,urban,policy holder,no,no
3639,all perils,tuesday,4,jan,400,more than 30,2 to 4,no change,external,8,0,29,male,31 to 35,1 vehicle,6 years,sedan,20000 to 29000,toyota,urban,third party,no,no
3640,all perils,thursday,1,feb,400,more than 30,none,no change,external,4,0,38,male,36 to 40,1 vehicle,6 years,sedan,less than 20000,pontiac,rural,policy holder,no,no
3641,liability,thursday,2,jan,400,more than 30,1,1 year,external,11,0,35,female,31 to 35,1 vehicle,6 years,sport,20000 to 29000,honda,urban,policy holder,no,no
3642,liability,wednesday,3,jan,400,more than 30,more than 4,no change,external,7,0,33,male,31 to 35,1 vehicle,6 years,sport,20000 to 29000,pontiac,urban,policy holder,no,no
3643,collision,wednesday,3,jan,400,more than 30,1,no change,external,5,0,16,male,18 to 20,1 vehicle,3 years,sport,more than 69000,honda,urban,third party,no,no
3644,collision,monday,1,jan,400,more than 30,1,no change,external,5,0,50,male,41 to 50,1 vehicle,> 7 years,sport,more than 69000,honda,urban,policy holder,no,no
3645,all perils,thursday,2,jan,400,more than 30,2 to 4,no change,external,9,0,50,male,41 to 50,1 vehicle,> 7 years,sedan,20000 to 29000,pontiac,urban,policy holder,no,no
3646,all perils,wednesday,1,jan,400,more than 30,1,no change,external,5,0,30,male,31 to 35,1 vehicle,6 years,sedan,20000 to 29000,chevrolet,urban,third party,no,no
3647,all perils,friday,3,jan,400,more than 30,2 to 4,no change,external,11,0,39,male,16 to 17,1 vehicle,<= 1 year,sedan,more than 69000,honda,urban,policy holder,no,no
3648,liability,wednesday,3,jan,400,more than 30,2 to 4,no change,external,9,0,37,male,36 to 40,1 vehicle,> 7 years,sport,20000 to 29000,pontiac,urban,policy holder,no,no
3649,collision,wednesday,2,jan,400,more than 30,none,no change,external,16,0,22,male,26 to 30,1 vehicle,5 years,sport,more than 69000,mazda,urban,third party,no,no
3650,collision,wednesday,3,may,400,more than 30,2 to 4,no change,external,1,1,31,male,31 to 35,3 to 4,6 years,sedan,30000 to 39000,pontiac,rural,policy holder,no,no
3651,collision,monday,1,jan,400,more than 30,2 to 4,no change,external,2,0,26,male,31 to 35,1 vehicle,6 years,sedan,more than 69000,vw,urban,policy holder,no,no
3652,liability,tuesday,1,jan,400,more than 30,2 to 4,no change,external,5,0,35,female,31 to 35,1 vehicle,5 years,sport,20000 to 29000,toyota,urban,policy holder,no,no
3653,liability,friday,2,jan,400,more than 30,1,no change,external,5,0,28,female,31 to 35,1 vehicle,5 years,sport,20000 to 29000,pontiac,urban,policy holder,no,no
3654,all perils,tuesday,1,jan,400,more than 30,none,no change,external,3,0,34,male,31 to 35,1 vehicle,7 years,sedan,20000 to 29000,pontiac,urban,policy holder,no,no
3655,liability,monday,1,jan,400,more than 30,2 to 4,4 to 8 years,external,9,0,30,male,31 to 35,2 vehicles,5 years,sport,more than 69000,pontiac,urban,policy holder,no,no
3656,all perils,tuesday,1,jan,400,more than 30,none,no change,external,2,0,43,male,36 to 40,1 vehicle,7 years,sedan,more than 69000,ford,urban,policy holder,no,no
3657,all perils,monday,2,jan,400,more than 30,none,no change,external,10,0,36,male,36 to 40,1 vehicle,> 7 years,utility,more than 69000,acura,urban,policy holder,no,no
3658,liability,wednesday,1,jan,400,more than 30,1,no change,external,16,0,44,male,36 to 40,1 vehicle,7 years,sport,20000 to 29000,honda,urban,policy holder,no,no
3659,liability,monday,1,jan,700,more than 30,none,no change,external,16,0,39,female,36 to 40,1 vehicle,7 years,sport,more than 69000,chevrolet,urban,policy holder,no,no
3660,all perils,monday,1,jan,400,more than 30,none,no change,external,2,0,38,male,36 to 40,1 vehicle,7 years,sedan,20000 to 29000,honda,urban,third party,no,no
3661,collision,tuesday,1,jan,400,more than 30,none,no change,external,6,0,34,female,31 to 35,1 vehicle,5 years,sedan,more than 69000,honda,urban,policy holder,no,no
3662,all perils,monday,4,may,400,more than 30,none,no change,external,14,0,38,male,36 to 40,1 vehicle,> 7 years,sedan,60000 to 69000,ford,rural,third party,no,no
3663,collision,tuesday,3,may,400,more than 30,more than 4,no change,external,15,0,51,male,41 to 50,1 vehicle,> 7 years,sedan,20000 to 29000,toyota,urban,third party,no,no
3664,all perils,friday,2,jan,400,more than 30,1,no change,external,10,0,49,male,41 to 50,1 vehicle,> 7 years,sedan,less than 20000,toyota,urban,policy holder,no,no
3665,collision,thursday,2,jan,400,more than 30,more than 4,no change,external,10,0,42,male,36 to 40,1 vehicle,6 years,sedan,more than 69000,chevrolet,urban,policy holder,no,no
3666,collision,thursday,2,jan,400,more than 30,2 to 4,no change,external,13,0,50,female,41 to 50,1 vehicle,7 years,sedan,20000 to 29000,toyota,urban,policy holder,no,no
3667,liability,wednesday,2,jan,400,more than 30,2 to 4,no change,external,12,0,45,male,36 to 40,1 vehicle,> 7 years,sport,30000 to 39000,pontiac,urban,policy holder,no,no
3668,all perils,monday,2,jan,400,more than 30,2 to 4,no change,external,7,0,71,male,over 65,1 vehicle,> 7 years,sedan,20000 to 29000,chevrolet,urban,policy holder,no,no
3669,liability,thursday,2,jan,400,more than 30,1,no change,external,12,0,39,male,16 to 17,1 vehicle,<= 1 year,sport,more than 69000,honda,urban,third party,no,no
3670,liability,tuesday,3,jan,400,more than 30,2 to 4,no change,external,3,0,54,male,41 to 50,1 vehicle,> 7 years,sport,30000 to 39000,pontiac,urban,policy holder,no,no
3671,liability,friday,3,jan,400,more than 30,more than 4,no change,external,11,0,34,male,31 to 35,1 vehicle,6 years,sport,more than 69000,toyota,rural,policy holder,no,no
3672,collision,wednesday,4,jan,400,more than 30,none,no change,external,1,0,48,male,41 to 50,1 vehicle,7 years,sedan,30000 to 39000,toyota,urban,policy holder,no,no
3673,all perils,tuesday,3,jan,500,more than 30,1,2 to 3 years,external,8,0,55,male,41 to 50,1 vehicle,> 7 years,sedan,20000 to 29000,toyota,urban,third party,no,no
3674,collision,thursday,3,jan,400,more than 30,1,no change,external,3,0,30,male,31 to 35,1 vehicle,5 years,sedan,30000 to 39000,mazda,rural,third party,no,no
3675,all perils,thursday,3,mar,400,more than 30,more than 4,no change,external,15,0,51,male,41 to 50,1 vehicle,5 years,sedan,30000 to 39000,acura,urban,policy holder,no,no
3676,collision,monday,3,may,400,more than 30,2 to 4,4 to 8 years,external,16,1,27,male,31 to 35,2 vehicles,6 years,sedan,20000 to 29000,pontiac,urban,policy holder,no,no
3677,collision,wednesday,4,jan,400,more than 30,more than 4,no change,external,5,0,41,male,36 to 40,1 vehicle,7 years,sedan,30000 to 39000,dodge,urban,third party,no,no
3678,all perils,wednesday,1,jan,400,more than 30,none,no change,external,7,0,47,male,41 to 50,1 vehicle,> 7 years,sedan,30000 to 39000,pontiac,urban,policy holder,no,no
3679,liability,tuesday,2,jan,400,more than 30,2 to 4,no change,external,13,0,38,female,36 to 40,1 vehicle,7 years,sport,20000 to 29000,honda,urban,policy holder,no,no
3680,all perils,monday,2,feb,400,more than 30,2 to 4,no change,external,6,0,51,male,41 to 50,1 vehicle,6 years,sedan,20000 to 29000,pontiac,urban,policy holder,no,no
3681,all perils,friday,2,jan,400,more than 30,2 to 4,no change,external,1,0,29,male,31 to 35,1 vehicle,6 years,sedan,20000 to 29000,honda,urban,third party,no,no
3682,liability,friday,3,may,400,more than 30,more than 4,no change,external,4,0,31,female,31 to 35,1 vehicle,6 years,sport,20000 to 29000,toyota,urban,policy holder,no,no
3683,liability,wednesday,1,feb,400,more than 30,1,no change,external,6,0,28,male,31 to 35,1 vehicle,6 years,sport,20000 to 29000,toyota,urban,policy holder,no,no
3684,all perils,wednesday,4,may,400,more than 30,none,no change,external,4,1,50,male,41 to 50,1 vehicle,7 years,sedan,30000 to 39000,saab,urban,policy holder,no,no
3685,all perils,friday,2,feb,400,more than 30,2 to 4,no change,external,4,0,28,male,31 to 35,1 vehicle,7 years,sedan,40000 to 59000,mazda,urban,policy holder,no,yes
3686,collision,friday,3,oct,400,more than 30,1,no change,external,13,0,36,male,36 to 40,1 vehicle,6 years,sedan,20000 to 29000,pontiac,urban,third party,no,no
3687,collision,wednesday,1,nov,400,more than 30,more than 4,no change,external,10,0,39,male,36 to 40,1 vehicle,> 7 years,sedan,30000 to 39000,pontiac,urban,policy holder,no,no
3688,collision,monday,2,feb,400,more than 30,2 to 4,no change,external,10,0,55,male,41 to 50,1 vehicle,> 7 years,sedan,less than 20000,toyota,urban,policy holder,no,no
3689,collision,wednesday,3,may,400,more than 30,none,no change,external,3,0,36,female,36 to 40,1 vehicle,7 years,sedan,20000 to 29000,chevrolet,urban,third party,no,no
3690,collision,friday,2,feb,700,more than 30,none,no change,external,10,0,26,male,31 to 35,1 vehicle,7 years,sedan,30000 to 39000,saab,urban,third party,no,no
3691,collision,tuesday,2,feb,400,more than 30,none,no change,external,1,0,30,male,31 to 35,3 to 4,7 years,sedan,30000 to 39000,chevrolet,rural,policy holder,no,no
3692,collision,wednesday,2,feb,400,more than 30,1,no change,external,12,0,35,male,31 to 35,1 vehicle,7 years,sedan,30000 to 39000,honda,urban,policy holder,no,no
3693,collision,thursday,2,feb,400,more than 30,2 to 4,no change,external,14,0,34,male,31 to 35,5 to 8,6 years,sedan,30000 to 39000,mazda,urban,third party,no,no
3694,all perils,friday,1,jun,400,more than 30,none,no change,external,3,1,25,male,26 to 30,1 vehicle,6 years,sedan,20000 to 29000,pontiac,urban,policy holder,no,no
3695,all perils,thursday,4,mar,400,more than 30,none,no change,external,8,0,27,male,31 to 35,1 vehicle,7 years,sedan,30000 to 39000,pontiac,urban,third party,no,no
